,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
3,"Holmlund, Anne",Kokoomus,Anne,Holmlund, Sisäasiainministeri;;,Anne_Holmlund,22.6.2010,22.6.2011,Kiviniemi
4,"Häkämies, Jyri",Kokoomus,Jyri,Häkämies, Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;,Jyri_Häkämies,22.6.2010,22.6.2011,Kiviniemi
6,"Katainen, Jyrki",Kokoomus,Jyrki,Katainen, Pääministerin sijainen;; Valtiovarainministeri;;,Jyrki_Katainen,22.6.2010,22.6.2011,Kiviniemi
12,"Lindén, Suvi",Kokoomus,Suvi,Lindén, Viestintäministeri;;,Suvi_Lindén,22.6.2010,22.6.2011,Kiviniemi
96,"Brax, Tuija",Vihreät,Tuija,Brax, Oikeusministeri;;,Tuija_Brax,22.6.2010,22.6.2011,Kiviniemi
103,"Sinnemäki, Anni",Vihreät,Anni,Sinnemäki, Työministeri;;,Anni_Sinnemäki,22.6.2010,22.6.2011,Kiviniemi
108,"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila, Maa- ja metsätalousministeri;;,Sirkka-Liisa_Anttila,22.6.2010,22.6.2011,Kiviniemi
113,"Väyrynen, Paavo",Keskusta,Paavo,Väyrynen, Ulkomaankauppa- ja kehitysministeri;;,Paavo_Väyrynen,22.6.2010,22.6.2011,Kiviniemi
114,"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi, Pääministeri;;,Mari_Kiviniemi,22.6.2010,22.6.2011,Kiviniemi
117,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, Ympäristöministeri;;,Paula_Lehtomäki,22.6.2010,22.6.2011,Kiviniemi
119,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, Elinkeinoministeri;;,Mauri_Pekkarinen,22.6.2010,22.6.2011,Kiviniemi
122,"Vehviläinen, Anu",Keskusta,Anu,Vehviläinen, Liikenneministeri;;,Anu_Vehviläinen,22.6.2010,22.6.2011,Kiviniemi
146,"Rehula, Juha",Keskusta,Juha,Rehula, Sosiaali- ja terveysministeri;;,Juha_Rehula,22.6.2010,22.6.2011,Kiviniemi
360,"Risikko, Paula",Kokoomus,Paula,Risikko, Peruspalveluministeri;;,Paula_Risikko,22.6.2010,22.6.2011,Kiviniemi
390,"Thors, Astrid",RKP,Astrid,Thors, Ministeri valtioneuvoston kansliassa;; Ministeri oikeusministeriössä;; Maahanmuutto- ja eurooppaministeri;;,Astrid_Thors,22.6.2010,22.6.2011,Kiviniemi
397,"Tölli, Tapani",Keskusta,Tapani,Tölli, Hallinto- ja kuntaministeri;;,Tapani_Tölli,22.6.2010,22.6.2011,Kiviniemi
404,"Vapaavuori, Jan",Kokoomus,Jan,Vapaavuori, Ministeri valtioneuvoston kansliassa;; Ministeri ulkoasiainministeriössä;; Asuntoministeri;;,Jan_Vapaavuori,22.6.2010,22.6.2011,Kiviniemi
615,"Henna, Virkkunen",Kokoomus,Henna,Virkkunen, Opetusministeri;;,Henna_Virkkunen,22.6.2010,22.6.2011,Kiviniemi
623,"Stefan, Wallin",RKP,Stefan,Wallin, Kulttuuri- ja urheiluministeri;; Ministeri sosiaali- ja terveysministeriössä;;,Stefan_Wallin,22.6.2010,22.6.2011,Kiviniemi
792,"Stubb, Alexander",Kokoomus,Alexander,Stubb, Ulkoasiainministeri;;,Alexander_Stubb,22.6.2010,22.6.2011,Kiviniemi
